,ISBN,Book-Title,Book-Author,Year-Of-Publication,ID-Author
108,8472238822,Tu Nombre Escrito En El Agua (La Sonrisa Vertical),Irene Gonzalez Frei,2002,283b353737cc99b1da9642fdf161f06a04cefa90e4e2a9437206aabf53c90f30
109,0671864769,Relics (Star Trek: The Next Generation),Michael Jan Friedman,1992,f3c608bb90b50652824a3fcbb047378f4396b1f6596e22eaf759a821d8298a35
110,0671521519,Bless The Beasts And Children : Bless The Beasts And Children,Glendon Swarthout,1995,ab64bd4b0d6bd8e329b493160a2eaf7669ef8019011d6c1887d27bffc39d02cd
111,0440222303,"The Touch of Your Shadow, the Whisper of Your Name (Babylon 5, Book 5)",Neal Barrett Jr.,1996,dfefd7624e5196c51b87b5aab22a156f78deb43368f8e6d48bc6e0837bb5715f
112,0312953453,Blood Oath,David Morrell,1994,9d214967e0127275314931ed2ae4c232b9a3061137e61646c265d5c0a97b85b4
113,0446608653,The Alibi,Sandra Brown,2000,ef2d21f8579eaa673bd85bb61fce8587bf1232965f3013af53ac515b14911119
114,0446612545,The Beach House,James Patterson,2003,f1bca420e6b950fec85bc603861685f44f376906d526e9946910bb5275c3d467
115,0446612618,A Kiss Remembered,Sandra Brown,2003,ef2d21f8579eaa673bd85bb61fce8587bf1232965f3013af53ac515b14911119
116,0451208080,The Short Forever,Stuart Woods,2003,d78fdde1367ef24bba9371744be875c99431add19e355f0552788c130692e2dc
117,0553584383,Dead Aim,IRIS JOHANSEN,2004,44f6fba3017b737c0406e3d7a395d33d7c3f7778132298831d07723953fd7164
118,0671027360,Angels &amp; Demons,Dan Brown,2001,f0431d23dfeeaed217eb73cebe9d622668d9a475572cb2c1b2e021cc10a2a30e
119,0812575954,The Deal,Joe Hutsko,2000,e7cad330bdcd3886f7e5049647037576f8aa2b5766a77a417e54be3448afa23d
120,0316735736,All He Ever Wanted: A Novel,Anita Shreve,2004,088f53613be88c0c467a7bbea76ca671b7e523aa0ca4e829d80d42a3419c5208
121,0743439740,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,2002,7d35c4c90c26a6551ac698994973acbbbd83302ab4c27d18043abd341b4aa9e0
122,0345372700,"If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground",LEWIS GRIZZARD,1991,b0a25611de0a9dd9b10cea4769da27847d82bc26346f49e35a4fabe45021cdfa
123,0380619458,The Mosquito Coast,Paul Theroux,1990,00cc5d34fcb39a7e2f4d817c9eab35310965795add0c93f817914b2fa91be579
124,0446325805,"If Love Were Oil, I'd Be About a Quart Low",Lewis Grizzard,1994,826805dc00812c30a9ba3fe56c7c99e744064f6a0a2fe6a7bdbfd46060d3f53d
125,0451406923,"Goodbye, My Little Ones: The True Story of a Murderous Mother and Five Innocent Victims",Charles Hickey,1996,33e4d8f52f9d6addde7212945a827b563ca80ef2ae89fd6de534e951822a879e
126,0671042858,The Girl Who Loved Tom Gordon,Stephen King,2000,e143719d0b75379c77c75ec6cb49e9287621d495925b03b652ba7fd1fcccf75d
127,0743249992,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,Ben Mezrich,2003,fbb460b7a13e92e5832f8b95af92f69d726cfabfc2dd0fe5967102bdd5c7ffe0
128,0840734530,"The Oneprince (The Redaemian Chronicles, Book 1)",Bill Hand,1992,7488271a588b73273d753670affd984b05f9c41f50160bb570ebf6c9bfbd0853
129,0425184226,The Sum of All Fears,Tom Clancy,2002,330ef45d86143e04706d9efc64d5518fed9b8cbef35f1e84cf373249ea2df8d0
130,0375500766,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,DANA REEVE,1999,a37e495356fb161434cd7867040b277904e55680244f2cd94699d2e8f2ffd1ab
131,9724119378,O Deus Das Pequenas Coisas,Roy,1998,e3058ee8c04e482de1db596c7de6135c1d4c4bc1187ad1d9200a12ac3404eef3
132,0451205197,Lady in Green/Minor Indiscretions (Signet Regency Romance),Barbara Metzger,2002,460f0f8c0c6ce11360bfe24b9c0ee05f1ebf89c2de0e6c2bb504ab7a6573b00b
133,0060929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,1998,25987eef97345ca3ab285d59630da67e00f54b39adda4de4093600b1bf07e17d
134,0060976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996,ccf3ac74f522868efaaa7b45da27e2017ef6a7b4916377141aaee7798427edb3
135,0061099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1992,25b1c47b6f5843e4be55cda5ed36acb915c66112099da0c4da510ce88a9a68f8
136,0671004573,Before I Say Good-Bye,Mary Higgins Clark,2001,6f93b563188d740b28aef3ed1a8d64e657a7b425132d55581507099a5a0c3a1b
137,0446601640,Slow Waltz in Cedar Bend,Robert James Waller,1994,fa211723c3f6dbbc2f252004cb5396e9e8740c3a8f0461debc0e44ee61edc08b
138,0330484516,Twenty Minute Retreats: Revive Your Spirits in Just Minutes a Day (A Pan Self-discovery Title),Rachel Harris,2001,739ebf95fc9dabdbe1a1db6d7ef302404dfee68a07dee053874ec5805e042ce7
139,038572179X,Atonement : A Novel,IAN MCEWAN,2003,9540bb3b5060252dffc10281f87af6afc90ebfce5b094de391d48e3bc4cdae82
140,0393020371,Next: The Future Just Happened,Michael Lewis,2001,e46f56a5fbfc1263c5538ca496c2ce21a4fe06b5c751a246caae3cfc54fe665d
141,1900850303,The Angelic Darkness,Richard Zimler,1999,b1f3b1d288cf1a1d1e38d333016434ce8b57d8bb3077757a466855c83acc34b4
142,1903019699,The Soulbane Stratagem,Norman Jetmundsen,2000,308ef76c2c74c2a25ae506047ec60d97d81fe006fab91d35121041220f91277a
143,0345425294,Gangster,Lorenzo Carcaterra,2002,0ff2386d008aea00293b392ba0ec4b9862057ec2c91da748f8c40d85a6422bc1
144,0451410319,Hush,Anne Frasier,2002,ee7154deeef5b2e35950baf6740210dbcf4d623f703d308accc83c3aed2094cf
145,0553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,2002,e718d101361b0142119fc133c5565314db2c2d5fc1fa1a5895a96bc6eb0fd52a
146,8420639133,Temor y Temblor,Soren Kierkegaard,2001,c48532b5333f6ec7fd48f46add25cfc5a5fea347394e40b3a77c950e9cf9ba6d
147,8476409419,Estudios sobre el amor,Jose Ortega Y Gaset,2001,7c79cec1bb35a3a0b7f233585b956029d6de303cbbbed0a21111d7ad3fc178c5
148,0380778556,Rebecca,Daphne Du Maurier,1994,625207b84f5bfc9e268f8ba9c2b7be4c77ba392b32ea938748526563518c765b
149,0451525221,Scarlet Letter,Nathaniel Hawthorne,1993,23243434a282c08a2d0d6406518b81d2f9b5a9ed4866108c337b3297d1bb68ff
150,0002740230,Keep It Simple: And Get More Out of Life,Nick Page,1999,e455c1567fdbd1ab55d1155fbc30119dfea41380c3aa8ffcef69aac7c7db693b
151,0385336772,Diary of a Mad Mom-To-Be,Laura Wolf,2003,7e9ea6ca4e4102f044be70d01eda3c4280edd0b5a91508231db601f2a9f7d4f1
152,0440949424,Locked in Time (Laurel Leaf Books),LOIS DUNCAN,1986,675d46665bbc0f9af78393a5788d0b0f0c6f616a3fbbdf1e63415bd4e1882b01
153,0505524996,Contact,Susan Grant,2002,fff22552af7b6a9f345517e19251f7715a4a42d42f4e2812e8012d553a1be7de
154,0140252800,The Brimstone Wedding,Barbara Vine,1997,da479c63330a76b9fabcfcdc23a0b05739e89adc29d9b26d3deeaf7ce0777157
155,0451452755,The Catswold Portal,Shirley Rousseau Murphy,1993,ac6de22e7e685f6c9f70530a0159e648bc9220dfe165b4937bc78ae29f5bc314
156,0812575482,Through Wolf's Eyes (Wolf),Jane Lindskold,2002,a4d48ed945432f04e4778aa6799640e4de1de68727999046c2cd379bd4a929a5
157,044651747X,Puerto Vallarta Squeeze,Robert James Waller,1995,fa211723c3f6dbbc2f252004cb5396e9e8740c3a8f0461debc0e44ee61edc08b
158,0060801263,Tree Grows In Brooklyn,Betty Smith,1988,d671e7dd160eb2c4fe72e3825db7c17d1167792cf0fcbcfb7ff9362084b82c74
159,0061030147,"Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think",Cybill Shepherd,2001,a30b53729163f10cc1aadb3663b0fd3ca5d1cf0399b993909c7f8a6007632eba
160,0140250964,Snow Angels,Stewart O'Nan,1995,8765435a6293843d6e056f1fca56085d3eb5a7a642f8222d7f68d39ef8a23f7e
161,0446527165,Wish You Well,David Baldacci,2000,282259ee5467f0c45b68575e10f9e1f45e243e637ddb4d83757fa1a01deda46a
162,0671461494,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1982,9e449c7df78c12acfe618fa10bdda5e4ea277984797e43b443e7fbb661ce00f2
163,0385337639,Crow Lake (Today Show Book Club #7),Mary Lawson,2003,61332e4f995ffefcaab960c53fb37055cb52a8183372897e50c25a0109386e96
164,039575514X,My Antonia,Willa Cather,1995,13b2bfcac10297ffa26318275e179036b9f0d8733b8c3ac72bee4382a66edf2f
165,0451206673,Pen Pals,Olivia Goldsmith,2002,90a3f903b1f6e38420756d8fd90dc5bf1df242e21b0fb447bcdc18c6fb4cbe91
166,0330332775,Bridget Jones's Diary,Helen Fielding,1997,c97ea24d11e2b322b00bf24af572b22c04e4c473498bced54a031688969fbc93
167,0486284735,Pride and Prejudice (Dover Thrift Editions),Jane Austen,1995,1faf378f951e654880b0b895248afd5975fcb5ce085220331446e83a0796cfd0
168,0671021745,EYE ON CRIME: HARDY BOYS #153,Franklin W. Dixon,1998,9cf14c91d1f832b3860fb901e3e332424e1a344e9c82190596be3053bb5a160c
169,0671047612,Skin And Bones,Franklin W. Dixon,2000,9cf14c91d1f832b3860fb901e3e332424e1a344e9c82190596be3053bb5a160c
170,0671504282,"LAW OF THE JUNGLE (HARDY BOYS CASE FILE 105) : LAW OF THE JUNGLE (Hardy Boys, The)",Franklin W. Dixon,1995,9cf14c91d1f832b3860fb901e3e332424e1a344e9c82190596be3053bb5a160c
171,0399138684,The Cat Who Came to Breakfast (Cat Who... (Hardcover)),Lilian Jackson Braun,1994,c3e6b787b6b635de5f01799bfab763a83360f940dd62cb357e5faf8732f19469
172,0785263292,"If Singleness Is a Gift, What's the Return Policy?",Holly Virden,2003,60dcba709cb0802cad791bcbc3c1e9914ea631a3ca61a8706ab6eb582493a173
173,0830714014,Always Daddy's Girl: Understanding Your Father's Impact on Who You Are,H. Norman Wright,1989,ef6a5a31692da825e31bb7c518dd11b3770c0dae2f027a884577c1ebd51ed6ba
174,0345354931,Night Mare (Xanth Novels (Paperback)),Piers Anthony,1990,ec6f042689e6b8bb3a865ce757dc78ffd87defd4b6dd41e43cafc0ecac28a9dd
